"","ORG_CODE","DISTRICT_NAME.x","COUNTY.x","FEMALE","MALE","TOTAL","DISTRICT_NAME.y","COUNTY.y","GRADE","District_Total","African American","Asian","Hispanic","Mult-Race, Non-Hispanic","Native American","Native Hawaiian PacificIslander","White"
"276","0458","Lowell Middlesex Academy Charter (District)","Middlesex","21","8","29","Lowell Middlesex Academy Charter (District)","Middlesex","Gr.10",30,"1","2","8","3","0","0","16"
"277","0463","KIPP Academy Boston Charter School (District)","Suffolk","0","0","0","KIPP Academy Boston Charter School (District)","Suffolk","Gr.10",0,"***","***","***","***","***","***","***"
"278","0464","Marblehead Community Charter Public (District)","Essex","0","0","0","Marblehead Community Charter Public (District)","Essex","Gr.10",0,"***","***","***","***","***","***","***"
"279","0466","Martha's Vineyard Charter (District)","Dukes","4","3","7","Martha's Vineyard Charter (District)","Dukes","Gr.10",7,"0","0","1","0","0","0","6"
"280","0468","Ma Academy for Math and Science","Worcester","0","0","0","Ma Academy for Math and Science","Worcester","Gr.10",0,"***","***","***","***","***","***","***"
"281","0469","MATCH Charter Public School (District)","Suffolk","44","28","72","MATCH Charter Public School (District)","Suffolk","Gr.10",72,"35","0","30","2","1","0","4"
"282","0470","Mystic Valley Regional Charter (District)","Middlesex","50","45","95","Mystic Valley Regional Charter (District)","Middlesex","Gr.10",95,"15","22","6","2","0","0","50"
"283","0474","Sizer School: A North Central Charter Essential (District)","Worcester","33","36","69","Sizer School: A North Central Charter Essential (District)","Worcester","Gr.10",69,"2","1","12","2","0","0","52"
"284","0477","Silver Hill Horace Mann Charter (District)","Essex","0","0","0","Silver Hill Horace Mann Charter (District)","Essex","Gr.10",0,"***","***","***","***","***","***","***"
"285","0478","Francis W. Parker Charter Essential (District)","Middlesex","32","32","64","Francis W. Parker Charter Essential (District)","Middlesex","Gr.10",64,"0","1","1","2","0","0","60"
"286","0479","Pioneer Valley Performing Arts Charter Public (District)","Hampshire","49","19","68","Pioneer Valley Performing Arts Charter Public (District)","Hampshire","Gr.10",68,"9","1","7","7","0","0","44"
"287","0480","UP Academy Charter School of Boston (District)","Suffolk","0","0","0","UP Academy Charter School of Boston (District)","Suffolk","Gr.10",0,"***","***","***","***","***","***","***"
"288","0481","Boston Renaissance Charter Public (District)","Suffolk","0","0","0","Boston Renaissance Charter Public (District)","Suffolk","Gr.10",0,"***","***","***","***","***","***","***"
"289","0482","River Valley Charter (District)","Essex","0","0","0","River Valley Charter (District)","Essex","Gr.10",0,"***","***","***","***","***","***","***"
"290","0483","Rising Tide Charter Public (District)","Plymouth","35","40","75","Rising Tide Charter Public (District)","Plymouth","Gr.10",75,"1","6","1","0","0","0","67"
"291","0484","Roxbury Preparatory Charter (District)","Suffolk","61","48","109","Roxbury Preparatory Charter (District)","Suffolk","Gr.10",109,"58","1","45","3","1","0","1"
"292","0485","Salem Academy Charter (District)","Essex","35","25","60","Salem Academy Charter (District)","Essex","Gr.10",60,"3","1","24","3","0","0","29"
"293","0486","Seven Hills Charter Public (District)","Worcester","0","0","0","Seven Hills Charter Public (District)","Worcester","Gr.10",0,"***","***","***","***","***","***","***"
"294","0487","Prospect Hill Academy Charter (District)","Middlesex","46","39","85","Prospect Hill Academy Charter (District)","Middlesex","Gr.10",85,"47","7","20","4","0","0","7"
"295","0488","South Shore Charter Public (District)","Plymouth","32","27","59","South Shore Charter Public (District)","Plymouth","Gr.10",59,"17","1","3","3","0","0","35"
"296","0489","Sturgis Charter Public (District)","Barnstable","130","84","214","Sturgis Charter Public (District)","Barnstable","Gr.10",214,"6","9","15","11","3","1","169"
"297","0491","Atlantis Charter (District)","Bristol","45","31","76","Atlantis Charter (District)","Bristol","Gr.10",76,"4","3","13","2","0","0","54"
"298","0492","Martin Luther King Jr. Charter School of Excellence (District)","Hampden","0","0","0","Martin Luther King Jr. Charter School of Excellence (District)","Hampden","Gr.10",0,"***","***","***","***","***","***","***"
"299","0493","Phoenix Charter Academy (District)","Essex","7","8","15","Phoenix Charter Academy (District)","Essex","Gr.10",15,"1","0","14","0","0","0","0"
"300","0494","Pioneer Charter School of Science (District)","Middlesex","36","26","62","Pioneer Charter School of Science (District)","Middlesex","Gr.10",62,"24","8","10","0","1","0","19"
"301","0496","Global Learning Charter Public (District)","Bristol","24","22","46","Global Learning Charter Public (District)","Bristol","Gr.10",46,"8","1","13","1","1","0","22"
"302","0497","Pioneer Valley Chinese Immersion Charter (District)","Hampshire","10","10","20","Pioneer Valley Chinese Immersion Charter (District)","Hampshire","Gr.10",20,"1","4","0","2","0","0","13"
"303","0498","Veritas Preparatory Charter School (District)","Hampden","0","0","0","Veritas Preparatory Charter School (District)","Hampden","Gr.10",0,"***","***","***","***","***","***","***"
"304","0499","Hampden Charter School of Science (District)","Hampden","24","16","40","Hampden Charter School of Science (District)","Hampden","Gr.10",40,"10","2","14","2","0","0","12"
"305","0600","Acton-Boxborough","Middlesex","234","258","492","Acton-Boxborough","Middlesex","Gr.10",492,"7","153","18","17","0","0","297"
"306","0603","Adams-Cheshire","Berkshire","51","43","94","Adams-Cheshire","Berkshire","Gr.10",94,"7","3","3","0","1","0","80"
"307","0605","Amherst-Pelham","Hampshire","105","115","220","Amherst-Pelham","Hampshire","Gr.10",220,"12","21","37","16","0","0","134"
"308","0610","Ashburnham-Westminster","Worcester","85","74","159","Ashburnham-Westminster","Worcester","Gr.10",159,"0","2","2","4","0","0","151"
"309","0615","Athol-Royalston","Worcester","35","41","76","Athol-Royalston","Worcester","Gr.10",76,"1","0","5","2","0","0","68"
"310","0616","Ayer Shirley School District","Middlesex","59","60","119","Ayer Shirley School District","Middlesex","Gr.10",119,"6","3","12","11","0","0","87"
"311","0618","Berkshire Hills","Berkshire","68","74","142","Berkshire Hills","Berkshire","Gr.10",142,"5","1","6","4","0","0","126"
"312","0620","Berlin-Boylston","Worcester","47","30","77","Berlin-Boylston","Worcester","Gr.10",77,"1","0","1","3","0","0","72"
"313","0622","Blackstone-Millville","Worcester","62","57","119","Blackstone-Millville","Worcester","Gr.10",119,"1","2","6","0","0","0","110"
